kepoi_name,kepler_name,catalog,p_planet,verdict,unseen,ra,dec,koi_period,koi_prad,koi_teq,koi_depth,koi_duration,koi_model_snr,koi_insol,koi_impact,koi_count,koi_steff,koi_srad,koi_kepmag,duty_cycle,dicco_offset_sig,prad_over_srad
K06456.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,292.83759,39.93383,4.426344495,78.3,1316.0,276140.0,5.84235,732.5,709.74,0.668,1,6228.0,1.226,13.501,0.054996001841921695,0.29850746268656714,0.5853916741304729
K06457.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,293.12161,39.975552,0.957823876,110.91,2649.0,104690.0,3.7232,454.1,11612.14,0.992,1,5908.0,2.033,13.988,0.16196436236397738,6.225352112676057,0.5000444093177512
K06458.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,293.27969,39.91576,5.024768971,42.15,1159.0,53046.0,3.82433,696.5,425.9,1.038,1,6322.0,0.989,14.355,0.03171232035800862,0.07462686567164178,0.3906398430397063
K06459.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,295.07663,39.958279,30.960216668,62.08,527.0,340410.0,15.4308,4578.3,18.3,0.58,1,5291.0,0.926,12.45,0.02076697352911432,0.23880597014925373,0.6144916289373293
K06460.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,False,295.83401,39.952259,2.470283788,157.82,2657.0,193830.0,7.8391,967.7,11792.22,0.804,1,7823.0,2.675,11.108,0.13222333735635827,2.375,0.5407711351156874
K06461.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,False,295.86285,39.96711,1.23516416,0.92,1866.0,64.6,4.713,13.0,2861.14,0.678,1,6249.0,1.076,15.005,0.15898696412952915,2.5999999999999996,0.00783701729936384
K06462.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,295.8656,39.9641,1.23513471,0.7,1743.0,42.8,5.44,12.0,2172.96,0.716,1,5930.0,0.997,14.712,0.18351574515031374,4.092105263157895,0.0064354383039126545
K06463.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,True,298.16129,39.90097,0.8903331,20.96,5714.0,134.1,2.643,10.8,251387.46,0.322,1,4981.0,18.374,13.915,0.12368966176816294,25.771428571428572,0.010455933577684247
K06464.01,,FALSE POSITIVE,0.03728287929707874,FALSE POSITIVE,True,298.21509,39.955101,20.000242814,21.57,746.0,13138.0,5.0042,796.5,73.09,1.004,3,6373.0,1.047,13.718,0.010425290096347194,0.6176470588235294,0.18883335653260988
K06576.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,299.18677,40.501701,10.217121652,81.1,994.0,205220.0,4.35647,3617.5,230.53,0.786,1,5931.0,1.349,13.752,0.01776621533108602,0.7857142857142857,0.5510413049962664
K06577.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,299.9982,40.550259,0.618060842,0.51,1854.0,25.1,1.892,9.6,2791.09,0.944,1,5339.0,0.793,13.426,0.12754947082270152,123.33333333333333,0.005894842937111273
K06578.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,290.5174,40.696812,0.759764419,138.54,2715.0,393270.0,5.72501,1728.1,12833.03,0.545,1,5807.0,1.909,11.378,0.31396848466173477,0.17391304347826086,0.6651881506818731
K06579.01,,CANDIDATE,0.10276497371289932,FALSE POSITIVE,True,294.28778,40.692741,2.6528082,1.17,1280.0,153.1,2.297,9.8,633.57,0.434,1,5778.0,0.935,15.668,0.0360781202852635,0.5606060606060606,0.0114696324325914
K06580.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,295.29691,40.66156,21.539269242,53.0,674.0,143750.0,5.32432,2642.2,48.89,0.908,1,6136.0,0.933,14.293,0.010299637567744494,0.16417910447761191,0.5206782964585034
K06581.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,295.75555,40.61866,5.270733213,37.93,693.0,293640.0,2.7822,553.0,54.59,0.428,1,4348.0,0.678,15.953,0.0219940936707016,9.615384615384615,0.5127768359519695
K06582.01,,CANDIDATE,0.009087174935652162,FALSE POSITIVE,True,296.4718,40.681622,2.43135542,1.07,1422.0,123.6,1.401,9.3,965.4,0.12,1,6231.0,0.955,15.225,0.024009241725753118,2.1125,0.010269650304010445
K06583.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,297.54706,40.615742,12.4232158,1.3,685.0,261.5,17.67,23.6,51.91,0.245,1,5497.0,0.809,15.639,0.05926404337273125,3.2711864406779663,0.014728892081407721
K06711.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,293.26874,41.850719,4.3206933,1.66,1205.0,147.9,50.68,35.7,499.09,0.973,1,6225.0,1.031,15.604,0.4887332934894191,3.8918918918918917,0.014757903702011254
K06712.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,True,293.72183,41.873131,16.486796364,46.92,1053.0,48943.0,7.06797,3181.5,290.46,0.309,1,6020.0,2.097,13.645,0.01786270318975112,3.7352941176470584,0.20508543696704343
K06713.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,True,293.87863,41.856449,5.7768734,3.13,1399.0,71.0,5.762,10.1,905.0,0.994,1,5473.0,2.162,13.712,0.04155938977879164,0.47368421052631576,0.013269785334725037
K06714.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,293.94894,41.855461,20.148807707,68.52,631.0,526950.0,8.52557,3487.5,37.55,0.215,1,5547.0,0.918,14.904,0.017630426995931894,0.373134328358209,0.684147780713263
K06715.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,294.88351,41.800461,0.687772143,46.27,2097.0,40368.0,2.56725,679.8,4569.67,1.166,1,5885.0,0.933,14.726,0.15552934367683457,3.9104477611940296,0.4545619769270746
K06716.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,297.67096,41.87598,0.843651274,39.98,1553.0,305450.0,2.80468,1509.3,1371.12,0.405,1,5220.0,0.695,13.826,0.13851892395372198,1.835820895522388,0.5272702094969305
